Squad,Season,GameID,Opposition,Home/Away,Date,Metric,Count,SetPiece,Turnover,Team,Winner
1st,2021/22,Horsham 2nd (A),Horsham 2nd,A,2021-09-04,EG_l_won,15,Lineout,Retained,EG,EG
1st,2021/22,Eastbourne (H),Eastbourne,H,2021-09-25,EG_l_won,15,Lineout,Retained,EG,EG
1st,2021/22,Burgess Hill (H),Burgess Hill,H,2021-10-16,EG_l_won,5,Lineout,Retained,EG,EG
1st,2021/22,Lewes (H),Lewes,H,2021-10-31,EG_l_won,4,Lineout,Retained,EG,EG
1st,2021/22,Uckfield (H),Uckfield,H,2021-11-13,EG_l_won,9,Lineout,Retained,EG,EG
1st,2021/22,Seaford (H),Seaford,H,2022-02-12,EG_l_won,11,Lineout,Retained,EG,EG
1st,2021/22,Burgess Hill (A),Burgess Hill,A,2022-02-26,EG_l_won,13,Lineout,Retained,EG,EG
1st,2021/22,Eastbourne (A),Eastbourne,A,2022-03-26,EG_l_won,11,Lineout,Retained,EG,EG
1st,2021/22,Uckfield (H)2,Uckfield,H,2022-04-02,EG_l_won,5,Lineout,Retained,EG,EG
1st,2022/23,Lewes (A),Lewes,A,2022-09-17,EG_l_won,10,Lineout,Retained,EG,EG
1st,2022/23,Uckfield (H),Uckfield,H,2022-09-24,EG_l_won,3,Lineout,Retained,EG,EG
1st,2022/23,Crawley (A),Crawley,A,2022-10-01,EG_l_won,11,Lineout,Retained,EG,EG
1st,2022/23,Shoreham (H),Shoreham,H,2022-10-15,EG_l_won,10,Lineout,Retained,EG,EG
1st,2022/23,Seaford (A),Seaford,A,2022-10-22,EG_l_won,6,Lineout,Retained,EG,EG
1st,2022/23,Burgess Hill (H),Burgess Hill,H,2022-10-29,EG_l_won,13,Lineout,Retained,EG,EG
1st,2022/23,Eastbourne (A),Eastbourne,A,2022-11-05,EG_l_won,10,Lineout,Retained,EG,EG
1st,2022/23,Haywards Heath (A),Haywards Heath,A,2022-11-26,EG_l_won,9,Lineout,Retained,EG,EG
1st,2022/23,Crawley (H),Crawley,H,2022-12-10,EG_l_won,4,Lineout,Retained,EG,EG
1st,2022/23,Shoreham (A),Shoreham,A,2023-01-14,EG_l_won,8,Lineout,Retained,EG,EG
1st,2022/23,Seaford (H),Seaford,H,2023-01-21,EG_l_won,11,Lineout,Retained,EG,EG
1st,2022/23,Burgess Hill (A),Burgess Hill,A,2023-01-28,EG_l_won,12,Lineout,Retained,EG,EG
1st,2022/23,Eastbourne (H),Eastbourne,H,2023-02-11,EG_l_won,9,Lineout,Retained,EG,EG
1st,2022/23,Pulborough (A),Pulborough,A,2023-02-18,EG_l_won,11,Lineout,Retained,EG,EG
1st,2022/23,Haywards Heath (H),Haywards Heath,H,2023-03-04,EG_l_won,8,Lineout,Retained,EG,EG
1st,2022/23,Cheshunt (H),Cheshunt,H,2023-04-22,EG_l_won,5,Lineout,Retained,EG,EG
1st,2022/23,Wensleydale (A),Wensleydale,A,2023-04-29,EG_l_won,10,Lineout,Retained,EG,EG
1st,2023/24,Old Colfeians (H),Old Colfeians,H,2023-08-19,EG_l_won,3,Lineout,Retained,EG,EG
1st,2023/24,Heathfield & Waldron (H),Heathfield & Waldron,H,2023-09-02,EG_l_won,11,Lineout,Retained,EG,EG
1st,2023/24,Twickenham (H),Twickenham,H,2023-09-16,EG_l_won,4,Lineout,Retained,EG,EG
1st,2023/24,Trinity (A),Trinity,A,2023-09-23,EG_l_won,9,Lineout,Retained,EG,EG
1st,2023/24,KCS Old Boys (H),KCS Old Boys,H,2023-09-30,EG_l_won,11,Lineout,Retained,EG,EG
1st,2023/24,Kingston (H),Kingston,H,2023-10-14,EG_l_won,8,Lineout,Retained,EG,EG
1st,2023/24,Old Walcountians (A),Old Walcountians,A,2023-10-21,EG_l_won,11,Lineout,Retained,EG,EG
1st,2023/24,Teddington (H),Teddington,H,2023-11-11,EG_l_won,14,Lineout,Retained,EG,EG
1st,2023/24,Eastbourne (A),Eastbourne,A,2023-11-18,EG_l_won,7,Lineout,Retained,EG,EG
1st,2023/24,Horsham 2nd (A),Horsham 2nd,A,2023-11-25,EG_l_won,10,Lineout,Retained,EG,EG
1st,2023/24,Weybridge Vandals (H),Weybridge Vandals,H,2023-12-02,EG_l_won,14,Lineout,Retained,EG,EG
1st,2023/24,Hove (A),Hove,A,2023-12-09,EG_l_won,9,Lineout,Retained,EG,EG
1st,2023/24,Trinity (H),Trinity,H,2023-12-16,EG_l_won,12,Lineout,Retained,EG,EG
1st,2023/24,Old Tiffinians (H),Old Tiffinians,H,2024-01-13,EG_l_won,12,Lineout,Retained,EG,EG
1st,2023/24,Old Walcountians (H),Old Walcountians,H,2024-01-27,EG_l_won,10,Lineout,Retained,EG,EG
1st,2023/24,Teddington (A),Teddington,A,2024-02-17,EG_l_won,13,Lineout,Retained,EG,EG
1st,2023/24,Eastbourne (H),Eastbourne,H,2024-03-02,EG_l_won,8,Lineout,Retained,EG,EG
1st,2023/24,Weybridge Vandals (A),Weybridge Vandals,A,2024-03-16,EG_l_won,7,Lineout,Retained,EG,EG
1st,2023/24,Hove (H),Hove,H,2024-03-23,EG_l_won,13,Lineout,Retained,EG,EG
1st,2023/24,Twickenham (A),Twickenham,A,2024-04-06,EG_l_won,11,Lineout,Retained,EG,EG
1st,2023/24,Dover (A),Dover,A,2024-04-13,EG_l_won,6,Lineout,Retained,EG,EG
1st,2024/25,London Cornish (H),London Cornish,H,2024-09-07,EG_l_won,11,Lineout,Retained,EG,EG
1st,2024/25,Haywards Heath (H),Haywards Heath,H,2024-09-21,EG_l_won,7,Lineout,Retained,EG,EG
1st,2024/25,Hove (H),Hove,H,2024-10-12,EG_l_won,7,Lineout,Retained,EG,EG
1st,2024/25,Twickenham (A),Twickenham,A,2024-10-19,EG_l_won,10,Lineout,Retained,EG,EG
1st,2024/25,KCS Old Boys (H),KCS Old Boys,H,2024-10-26,EG_l_won,5,Lineout,Retained,EG,EG
1st,2024/25,Eastbourne (A),Eastbourne,A,2024-11-09,EG_l_won,3,Lineout,Retained,EG,EG
1st,2024/25,Trinity (H),Trinity,H,2024-11-16,EG_l_won,6,Lineout,Retained,EG,EG
1st,2024/25,Old Rutlishians (H),Old Rutlishians,H,2024-11-23,EG_l_won,14,Lineout,Retained,EG,EG
1st,2024/25,Cobham (A),Cobham,A,2024-12-07,EG_l_won,9,Lineout,Retained,EG,EG
1st,2024/25,Old Haileyburians (H),Old Haileyburians,H,2024-12-14,EG_l_won,6,Lineout,Retained,EG,EG
1st,2024/25,Weybridge Vandals (H),Weybridge Vandals,H,2025-01-04,EG_l_won,10,Lineout,Retained,EG,EG
1st,2024/25,Twickenham (H),Twickenham,H,2025-01-18,EG_l_won,7,Lineout,Retained,EG,EG
1st,2024/25,Hove (A),Hove,A,2025-02-08,EG_l_won,5,Lineout,Retained,EG,EG
1st,2024/25,Eastbourne (H),Eastbourne,H,2025-02-15,EG_l_won,12,Lineout,Retained,EG,EG
2nd,2021/22,Worthing (H),Worthing,H,2021-09-25,EG_l_won,11,Lineout,Retained,EG,EG
2nd,2021/22,Royals (H),Royals,H,2021-10-09,EG_l_won,8,Lineout,Retained,EG,EG
2nd,2021/22,Crowborough (A),Crowborough,A,2021-12-11,EG_l_won,8,Lineout,Retained,EG,EG
2nd,2021/22,Rye (H),Rye,H,2022-01-15,EG_l_won,11,Lineout,Retained,EG,EG
2nd,2021/22,Crawley (H),Crawley,H,2022-01-29,EG_l_won,10,Lineout,Retained,EG,EG
2nd,2021/22,Horsham (H),Horsham,H,2022-03-05,EG_l_won,7,Lineout,Retained,EG,EG
2nd,2021/22,Rye (H)2,Rye,H,2022-03-12,EG_l_won,9,Lineout,Retained,EG,EG
2nd,2021/22,St Francis (H),St Francis,H,2022-04-16,EG_l_won,10,Lineout,Retained,EG,EG
2nd,2022/23,Eastbourne (H),Eastbourne,H,2022-10-15,EG_l_won,11,Lineout,Retained,EG,EG
2nd,2022/23,St Francis (H),St Francis,H,2022-10-29,EG_l_won,11,Lineout,Retained,EG,EG
2nd,2022/23,St Francis (A),St Francis,A,2023-01-28,EG_l_won,8,Lineout,Retained,EG,EG
2nd,2023/24,Uckfield (A),Uckfield,A,2023-09-09,EG_l_won,12,Lineout,Retained,EG,EG
2nd,2023/24,Shoreham (H),Shoreham,H,2023-09-16,EG_l_won,6,Lineout,Retained,EG,EG
2nd,2023/24,Holbrook (A),Holbrook,A,2023-09-23,EG_l_won,11,Lineout,Retained,EG,EG
2nd,2023/24,Shoreham (A),Shoreham,A,2024-01-13,EG_l_won,9,Lineout,Retained,EG,EG
2nd,2023/24,Heathfield & Waldron (H),Heathfield & Waldron,H,2024-01-20,EG_l_won,7,Lineout,Retained,EG,EG
2nd,2023/24,Hellingly (A),Hellingly,A,2024-02-17,EG_l_won,5,Lineout,Retained,EG,EG
2nd,2023/24,Midhurst (A),Midhurst,A,2024-04-06,EG_l_won,15,Lineout,Retained,EG,EG
2nd,2024/25,Warlingham (H),Warlingham,H,2024-08-17,EG_l_won,11,Lineout,Retained,EG,EG
2nd,2024/25,Eastbourne (H),Eastbourne,H,2024-10-26,EG_l_won,4,Lineout,Retained,EG,EG
2nd,2024/25,Eastbourne (A),Eastbourne,A,2024-11-16,EG_l_won,5,Lineout,Retained,EG,EG
2nd,2024/25,Old Rutlishians (H),Old Rutlishians,H,2024-11-23,EG_l_won,2,Lineout,Retained,EG,EG
2nd,2024/25,Newick (A),Newick,A,2024-11-30,EG_l_won,15,Lineout,Retained,EG,EG
2nd,2024/25,Barns Green (A),Barns Green,A,2024-12-14,EG_l_won,8,Lineout,Retained,EG,EG
2nd,2024/25,Burgess Hill (H),Burgess Hill,H,2025-01-18,EG_l_won,13,Lineout,Retained,EG,EG
2nd,2024/25,Royals (H),Royals,H,2025-02-08,EG_l_won,5,Lineout,Retained,EG,EG
2nd,2024/25,Old Caterhamians (H),Old Caterhamians,H,2025-02-15,EG_l_won,3,Lineout,Retained,EG,EG
1st,2021/22,Horsham 2nd (A),Horsham 2nd,A,2021-09-04,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2021/22,Eastbourne (H),Eastbourne,H,2021-09-25,EG_l_lost,2,Lineout,Turnover,EG,Opposition
1st,2021/22,Burgess Hill (H),Burgess Hill,H,2021-10-16,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2021/22,Lewes (H),Lewes,H,2021-10-31,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2021/22,Uckfield (H),Uckfield,H,2021-11-13,EG_l_lost,2,Lineout,Turnover,EG,Opposition
1st,2021/22,Seaford (H),Seaford,H,2022-02-12,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2021/22,Burgess Hill (A),Burgess Hill,A,2022-02-26,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2021/22,Eastbourne (A),Eastbourne,A,2022-03-26,EG_l_lost,0,Lineout,Turnover,EG,Opposition
1st,2021/22,Uckfield (H)2,Uckfield,H,2022-04-02,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2022/23,Lewes (A),Lewes,A,2022-09-17,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2022/23,Uckfield (H),Uckfield,H,2022-09-24,EG_l_lost,0,Lineout,Turnover,EG,Opposition
1st,2022/23,Crawley (A),Crawley,A,2022-10-01,EG_l_lost,0,Lineout,Turnover,EG,Opposition
1st,2022/23,Shoreham (H),Shoreham,H,2022-10-15,EG_l_lost,0,Lineout,Turnover,EG,Opposition
1st,2022/23,Seaford (A),Seaford,A,2022-10-22,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2022/23,Burgess Hill (H),Burgess Hill,H,2022-10-29,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2022/23,Eastbourne (A),Eastbourne,A,2022-11-05,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2022/23,Haywards Heath (A),Haywards Heath,A,2022-11-26,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2022/23,Crawley (H),Crawley,H,2022-12-10,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2022/23,Shoreham (A),Shoreham,A,2023-01-14,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2022/23,Seaford (H),Seaford,H,2023-01-21,EG_l_lost,2,Lineout,Turnover,EG,Opposition
1st,2022/23,Burgess Hill (A),Burgess Hill,A,2023-01-28,EG_l_lost,2,Lineout,Turnover,EG,Opposition
1st,2022/23,Eastbourne (H),Eastbourne,H,2023-02-11,EG_l_lost,0,Lineout,Turnover,EG,Opposition
1st,2022/23,Pulborough (A),Pulborough,A,2023-02-18,EG_l_lost,0,Lineout,Turnover,EG,Opposition
1st,2022/23,Haywards Heath (H),Haywards Heath,H,2023-03-04,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2022/23,Cheshunt (H),Cheshunt,H,2023-04-22,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2022/23,Wensleydale (A),Wensleydale,A,2023-04-29,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2023/24,Old Colfeians (H),Old Colfeians,H,2023-08-19,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2023/24,Heathfield & Waldron (H),Heathfield & Waldron,H,2023-09-02,EG_l_lost,9,Lineout,Turnover,EG,Opposition
1st,2023/24,Twickenham (H),Twickenham,H,2023-09-16,EG_l_lost,8,Lineout,Turnover,EG,Opposition
1st,2023/24,Trinity (A),Trinity,A,2023-09-23,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2023/24,KCS Old Boys (H),KCS Old Boys,H,2023-09-30,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2023/24,Kingston (H),Kingston,H,2023-10-14,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2023/24,Old Walcountians (A),Old Walcountians,A,2023-10-21,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2023/24,Teddington (H),Teddington,H,2023-11-11,EG_l_lost,7,Lineout,Turnover,EG,Opposition
1st,2023/24,Eastbourne (A),Eastbourne,A,2023-11-18,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2023/24,Horsham 2nd (A),Horsham 2nd,A,2023-11-25,EG_l_lost,2,Lineout,Turnover,EG,Opposition
1st,2023/24,Weybridge Vandals (H),Weybridge Vandals,H,2023-12-02,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2023/24,Hove (A),Hove,A,2023-12-09,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2023/24,Trinity (H),Trinity,H,2023-12-16,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2023/24,Old Tiffinians (H),Old Tiffinians,H,2024-01-13,EG_l_lost,2,Lineout,Turnover,EG,Opposition
1st,2023/24,Old Walcountians (H),Old Walcountians,H,2024-01-27,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2023/24,Teddington (A),Teddington,A,2024-02-17,EG_l_lost,8,Lineout,Turnover,EG,Opposition
1st,2023/24,Eastbourne (H),Eastbourne,H,2024-03-02,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2023/24,Weybridge Vandals (A),Weybridge Vandals,A,2024-03-16,EG_l_lost,6,Lineout,Turnover,EG,Opposition
1st,2023/24,Hove (H),Hove,H,2024-03-23,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2023/24,Twickenham (A),Twickenham,A,2024-04-06,EG_l_lost,8,Lineout,Turnover,EG,Opposition
1st,2023/24,Dover (A),Dover,A,2024-04-13,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2024/25,London Cornish (H),London Cornish,H,2024-09-07,EG_l_lost,2,Lineout,Turnover,EG,Opposition
1st,2024/25,Haywards Heath (H),Haywards Heath,H,2024-09-21,EG_l_lost,2,Lineout,Turnover,EG,Opposition
1st,2024/25,Hove (H),Hove,H,2024-10-12,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2024/25,Twickenham (A),Twickenham,A,2024-10-19,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2024/25,KCS Old Boys (H),KCS Old Boys,H,2024-10-26,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2024/25,Eastbourne (A),Eastbourne,A,2024-11-09,EG_l_lost,5,Lineout,Turnover,EG,Opposition
1st,2024/25,Trinity (H),Trinity,H,2024-11-16,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2024/25,Old Rutlishians (H),Old Rutlishians,H,2024-11-23,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2024/25,Cobham (A),Cobham,A,2024-12-07,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2024/25,Old Haileyburians (H),Old Haileyburians,H,2024-12-14,EG_l_lost,4,Lineout,Turnover,EG,Opposition
1st,2024/25,Weybridge Vandals (H),Weybridge Vandals,H,2025-01-04,EG_l_lost,7,Lineout,Turnover,EG,Opposition
1st,2024/25,Twickenham (H),Twickenham,H,2025-01-18,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2024/25,Hove (A),Hove,A,2025-02-08,EG_l_lost,3,Lineout,Turnover,EG,Opposition
1st,2024/25,Eastbourne (H),Eastbourne,H,2025-02-15,EG_l_lost,2,Lineout,Turnover,EG,Opposition
2nd,2021/22,Worthing (H),Worthing,H,2021-09-25,EG_l_lost,3,Lineout,Turnover,EG,Opposition
2nd,2021/22,Royals (H),Royals,H,2021-10-09,EG_l_lost,3,Lineout,Turnover,EG,Opposition
2nd,2021/22,Crowborough (A),Crowborough,A,2021-12-11,EG_l_lost,3,Lineout,Turnover,EG,Opposition
2nd,2021/22,Rye (H),Rye,H,2022-01-15,EG_l_lost,4,Lineout,Turnover,EG,Opposition
2nd,2021/22,Crawley (H),Crawley,H,2022-01-29,EG_l_lost,1,Lineout,Turnover,EG,Opposition
2nd,2021/22,Horsham (H),Horsham,H,2022-03-05,EG_l_lost,5,Lineout,Turnover,EG,Opposition
2nd,2021/22,Rye (H)2,Rye,H,2022-03-12,EG_l_lost,3,Lineout,Turnover,EG,Opposition
2nd,2021/22,St Francis (H),St Francis,H,2022-04-16,EG_l_lost,0,Lineout,Turnover,EG,Opposition
2nd,2022/23,Eastbourne (H),Eastbourne,H,2022-10-15,EG_l_lost,3,Lineout,Turnover,EG,Opposition
2nd,2022/23,St Francis (H),St Francis,H,2022-10-29,EG_l_lost,6,Lineout,Turnover,EG,Opposition
2nd,2022/23,St Francis (A),St Francis,A,2023-01-28,EG_l_lost,3,Lineout,Turnover,EG,Opposition
2nd,2023/24,Uckfield (A),Uckfield,A,2023-09-09,EG_l_lost,0,Lineout,Turnover,EG,Opposition
2nd,2023/24,Shoreham (H),Shoreham,H,2023-09-16,EG_l_lost,0,Lineout,Turnover,EG,Opposition
2nd,2023/24,Holbrook (A),Holbrook,A,2023-09-23,EG_l_lost,1,Lineout,Turnover,EG,Opposition
2nd,2023/24,Shoreham (A),Shoreham,A,2024-01-13,EG_l_lost,4,Lineout,Turnover,EG,Opposition
2nd,2023/24,Heathfield & Waldron (H),Heathfield & Waldron,H,2024-01-20,EG_l_lost,0,Lineout,Turnover,EG,Opposition
2nd,2023/24,Hellingly (A),Hellingly,A,2024-02-17,EG_l_lost,3,Lineout,Turnover,EG,Opposition
2nd,2023/24,Midhurst (A),Midhurst,A,2024-04-06,EG_l_lost,3,Lineout,Turnover,EG,Opposition
2nd,2024/25,Warlingham (H),Warlingham,H,2024-08-17,EG_l_lost,2,Lineout,Turnover,EG,Opposition
2nd,2024/25,Eastbourne (H),Eastbourne,H,2024-10-26,EG_l_lost,2,Lineout,Turnover,EG,Opposition
2nd,2024/25,Eastbourne (A),Eastbourne,A,2024-11-16,EG_l_lost,6,Lineout,Turnover,EG,Opposition
2nd,2024/25,Old Rutlishians (H),Old Rutlishians,H,2024-11-23,EG_l_lost,4,Lineout,Turnover,EG,Opposition
2nd,2024/25,Newick (A),Newick,A,2024-11-30,EG_l_lost,4,Lineout,Turnover,EG,Opposition
2nd,2024/25,Barns Green (A),Barns Green,A,2024-12-14,EG_l_lost,6,Lineout,Turnover,EG,Opposition
2nd,2024/25,Burgess Hill (H),Burgess Hill,H,2025-01-18,EG_l_lost,6,Lineout,Turnover,EG,Opposition
2nd,2024/25,Royals (H),Royals,H,2025-02-08,EG_l_lost,2,Lineout,Turnover,EG,Opposition
2nd,2024/25,Old Caterhamians (H),Old Caterhamians,H,2025-02-15,EG_l_lost,1,Lineout,Turnover,EG,Opposition
1st,2021/22,Horsham 2nd (A),Horsham 2nd,A,2021-09-04,EG_s_won,8,Scrum,Retained,EG,EG
1st,2021/22,Eastbourne (H),Eastbourne,H,2021-09-25,EG_s_won,4,Scrum,Retained,EG,EG
1st,2021/22,Burgess Hill (H),Burgess Hill,H,2021-10-16,EG_s_won,5,Scrum,Retained,EG,EG
1st,2021/22,Lewes (H),Lewes,H,2021-10-31,EG_s_won,3,Scrum,Retained,EG,EG
1st,2021/22,Uckfield (H),Uckfield,H,2021-11-13,EG_s_won,5,Scrum,Retained,EG,EG
1st,2021/22,Seaford (H),Seaford,H,2022-02-12,EG_s_won,4,Scrum,Retained,EG,EG
